Target_Offset_km_s,Control_Offset_km_s
-409.9276883660104,441.41994094017366
-311.64723500392785,-198.00512305670247
-309.2739060322531,657.2583697959658
-355.72728582858167,521.2896515632693
621.4115419442114,635.8743302921413
21.31653591888549,-635.3333281799399
296.550430600004,-616.2395706819943
-356.7801058992271,569.622199493506
-352.5508106787752,634.026703914464
347.68825638187855,-602.942046354051
-328.18611664928255,322.8737055618846
-335.5103607832207,549.5811726110821
-305.3213787411203,629.0362492234128
-295.30233470250994,660.2364432721052
-301.6220665384543,609.6334696159378
-280.1658048557576,449.3411433465443
-295.4977958923776,602.5261075191663
-290.6679974227464,-631.7986004649374
-294.5453625030298,-473.35957678786775
-289.3340761234421,-416.38586280129135
-222.7899072136194,639.8981229016973
-298.592072047701,519.579147820737
-330.6109244139604,629.55738589539
-200.66903184490886,295.7684528249536
-234.0676885878841,281.831852910826
-320.51159215542674,655.0728415217758
-324.007630980239,608.7826928526498
-139.106892845699,609.2390164366907
-80.83043732434189,605.1357285585997
-172.41767107390373,595.8274206327759
-237.82098556784075,364.3100171680075
-240.09710035267634,641.4507995030503
-238.80006653139318,662.8160092336054
-238.5018675772582,668.6648447115848
-246.78333894197917,646.2449682370776
-264.3428037902401,502.0994104145111
-272.3471062236143,236.61518159245722
-261.5723618439687,657.7825189601685
-248.4857522405787,587.2355807722706
-258.6888968860981,602.768294873439
-287.8029300660044,-353.8597969689192
-282.13422874512554,618.9180891986347
-387.553261904439,619.3602633558081
-267.43638072695524,632.0894639392436
-309.844162456708,560.9266235789883
-322.9808251992657,-663.5736853960475
-305.7806988144688,-630.305896867757
-310.05484285259047,-534.5568323461983
-317.54076446890025,-250.7864304193278
-325.5407887866217,-295.27310816372284
-319.046903031592,462.30106920908923
-323.76347897954787,542.5753929659088
-291.09797564703535,613.5187473281825
-344.9556785079673,492.08265306838024
329.862433897779,-620.9175444059201
-245.3699392365935,-576.7110791300152
-370.8921039174088,-575.8723129315631
-339.02230296007195,-656.452347896428
-327.35126306755956,615.4988504135653
-344.9128766461952,591.1707685129383
-322.0815492239142,616.3601377723068
-348.9566014918387,613.2612215951965
-274.52161446473633,632.951786009906
-351.27802744436144,638.6955212148381
29.381691010779935,622.7701675399348
313.5003471969391,607.3644073158068
265.90988029858215,655.0200763021555
221.48627383986897,-206.08147154598865
160.92136185738877,549.6308895942816
307.69152493963935,-670.9175315848968
253.9315551246337,664.4766473251201
-129.55788529441318,559.0704443786101
225.917494738385,-608.6147415642448
-344.5183941458286,-634.154096372427
-107.04404823296441,-605.0912266908817
-344.20267091156154,-589.3436294413032
-334.4277922055857,-600.4871322952148
-343.27303539340255,-579.334216496914
-345.82416571346306,-501.0927826143671
-304.482697456394,-637.8481999107804
-330.82363959322015,-650.1031994792315
-108.5482860636804,627.516307408607
-171.04701078262497,537.6047959990356
-355.0514279227989,624.9065331726296
-194.3972014333848,-312.88911483686644
-163.15801523027847,645.4904657226058
-190.48128318854856,620.6940642521329
-185.35340734105046,663.9212106154264
-152.56244446134068,642.1551261213433
-356.63813759061594,526.53706365641
-310.9168966273299,655.9862714665221
-235.13576439000767,638.49907640972
-238.49665128910456,486.94870360632257
-37.425335004466156,633.8976409065683
-242.46894668515037,560.9402153877782
-238.24284996443333,652.3354234518357
-240.6576694132177,553.541920576837
-235.01828467012163,645.1571509611957
-263.2939189216551,504.30756745246515
-337.23000180410037,629.190098442713
-348.70528986089005,535.6309955915694
-345.14498746139884,653.5646684991342
-169.9618747666533,432.47313194219976
-80.75263724697518,550.7136442981795
-259.24790961917927,445.3061395737768
-328.40013451687213,605.6289100371048
-252.7801589878971,565.0457569299275
-250.54255415296393,616.7250686008168
-165.09929487200412,667.7376063782847
-289.8286974780168,520.5363868219059
-280.8868503590576,434.24124309271974
-303.17331788343324,653.9127155239186
-231.23278559735806,469.7970927874266
-294.1157965798186,484.5503970469341
-268.64327327607,629.7098740413414
-246.51939189266335,617.033873299953
-157.48181114889385,429.08220607137554
-282.65777186174006,-318.9466893130377
-253.4175695531504,-311.7356778564087
-288.4941088307601,628.7295753705804
-126.5182171398587,618.6946349545857
-239.37378323800976,592.988710678966
-274.9543522317437,662.1950617701765
-259.2357949290894,613.6913930887698
-244.6440055679568,528.4327303538942
-242.23177866193546,-516.9352642766075
-274.6482260339392,-475.4270093134684
-325.6022836299478,-662.0887513549363
-305.7463043132592,-409.99511697130725
-337.1275849731659,-360.52309602290256
-354.52252524589676,-605.4338613824061
-354.30564013376033,303.9420552942737
-322.9891704786375,307.5602924233576
-303.81674865062223,573.5177137102428
43.61422877558605,513.8485006651593
359.639532541424,401.78148038660856
193.76110324935348,458.755830711114
285.5344957513278,646.9797871244178
-331.6577946357526,587.1894105664835
-357.82397059461107,264.7068235174665
-244.77546147975153,-612.6546208101984
-218.33379768303283,200.92653378634955
-154.90960667789406,650.3144746430364
-273.7628109397093,630.038737683388
-303.0754853588661,560.0852827610292
-199.05945103323464,639.383428252655
-233.3097830125644,-609.8373600924042
306.9411242270621,660.0501442549393
332.4512788251394,643.0633556745421
-175.47453111338982,-125.75026016903523
-133.65592469222196,568.2820016818931
-184.63013783137782,626.9563623518843
-190.49015884961392,622.9499506492224
-207.5058773300128,624.5245302289711
-165.9144394549725,566.3296393300774
-95.08138084720527,412.6013561002915
-188.08918453382125,487.6175846724928
-135.18374988223167,-570.9001313568624
-74.70347871524365,629.074219833172
78.97444183261933,-654.011508055795
-181.80930560612222,572.3112089924562
-179.06579019419934,611.2700834070143
-236.50552322333297,-665.7742929548747
-212.059611690518,573.2325371464584
-306.5158295114795,660.197776922519
-319.31520720068636,643.8369264075609
-133.13342544320818,-228.14674553409318
-114.93288576013624,666.0945154097033
-215.48474346428694,521.7774264413266
-147.06581681954867,576.2450527886356
-103.20822349995407,616.0627417305012
-174.67324369775568,611.8026239523044
-101.79277527044336,581.8146227743568
-118.44165622369732,-430.9114382147505
-244.0211894471706,-614.5174122432741
-290.70123104279446,-450.49214080675046
-226.06064934667856,-560.8755127910772
-211.21786072476743,-663.3114278831157
-253.75442356944842,-431.81519249034227
-259.1597086712707,-445.18789787229946
-196.41115634518923,-456.78674914208625
-229.70986466330427,-461.78896094286745
-222.9629742070948,-440.2053744626235
-274.07764009000283,525.6997971865779
-282.4187780014831,481.6110983221473
-303.89188110549003,498.22536179483706
-316.1345855291067,644.0694118214458
-310.1390486406836,598.3229681927286
-249.15439524780584,629.2929827188632
-209.2472895571714,583.2923337107816
-241.3010355236402,621.1058822387874
-239.81860057510144,607.5435597107493
-240.64408220096846,624.2529792578496
-224.98971128269673,641.8580611105293
222.7315424984839,652.3675572605702
-222.79041847895118,494.86772935731636
-176.7821356751624,624.4071887210779
-246.9491441600139,637.9481623312645
-353.2793789526977,663.2416920188143
-353.3224389618827,557.0295679440025
47.69006055263815,-635.0630881041039
343.0917540962556,626.4694350804089
279.521140130297,587.27210272079
-316.06483521061926,601.5689430165411
-238.00933856762248,633.8278805596775
-344.8063465357846,562.8917199466101
-294.92242162747476,669.1001784746537
-215.2800383725038,590.5806496317582
-213.09363454357958,610.9955574140902
324.4373935300024,647.6348661147366
315.69966984590735,606.3996809044178
317.18632736433483,590.1808882249296
321.655431083873,604.3420464649449
236.79310262513707,663.1637489977624
265.3086820470596,650.4853068495399
343.6063762797886,538.0783200093806
368.5617357053058,666.3840242656174
413.82583101901406,573.4532820042883
-156.26785032905752,660.1753541073991
-111.21297222059094,656.0215569204803
-172.20007571156066,-261.77701652664376
-118.73840559131898,640.363618302141
-63.53820475103424,665.7581819268926
-186.55899712548194,612.2979119716607
-178.04709392789982,611.0034239401455
-384.4091155200658,638.8922758891136
-175.6721989956156,650.3196757662208
-178.26336640854768,617.3842778500413
-171.5968875768205,629.3764803868428
-169.38651764003694,639.4495953019251
-209.63353030785882,578.6107329069253
-338.1164226708548,-352.15190191376297
-170.38433930692844,516.0733063825204
-166.54995161651027,612.4390263009813
-195.98144032465484,559.6316612874756
-417.20243583465356,665.1018063759661
-223.4353641451069,617.9626884877979
-132.4830923822182,555.7548254274064
-120.23768006712103,649.1857811909197
-336.10348448725705,484.131723110943
-334.0816009174433,601.4320419165549
-59.10372677295209,361.93228620176626
-206.52215181449392,501.69547829488744
-184.27171947241087,615.3208426814612
-254.7093707350754,486.58318163824595
-350.5915076548025,610.6206633838303
-306.95452046992483,606.9876955809733
-329.98575174590934,606.4828415052064
-338.53169399686755,630.8393009496099
-112.54806340469379,614.3211461300493
-203.74149453793905,184.6306864426656
-88.62714183065866,640.3464278787884
-192.36960312887345,568.4198182606438
-253.02263498047265,612.8349271336245
-262.46721258282633,642.5002368091175
626.1277045575351,651.8490236792022
-222.94449348439872,595.0139752479614
-243.38936456711997,630.2472795933143
-222.94709072434054,579.8902526600722
-261.23197287967446,617.2134235507236
-227.051504396099,636.7051293631354
-252.70989926661744,645.9217926409679
-262.699712900843,499.6694359350855
-334.8126950768195,614.1584476279537
-268.76515133342696,628.2528267786706
-136.1501273732205,623.517123861616
-301.85271777732834,622.8728036084626
-282.6151219358818,526.1488424605593
-287.6776965602149,630.1701645551642
-255.11199236700466,617.8237014318848
-316.50182520804236,305.5090106758341
-300.56189339509643,615.3815005977202
200.82673391138337,616.5547907262052
164.99024386338638,-421.25869327014885
-279.6453180693816,-423.07553540413926
-276.74074350477184,-420.48704893873366
-315.363079513532,602.2872009789103
290.82050455650113,663.8834273533506
295.99931261140495,648.0771477817716
369.9720079498107,628.1224880217119
-286.7563034470375,646.439037681852
-188.97630458511796,574.7902922606817
-146.44014414965534,648.1439792786821
-191.07429493070794,622.6697007036104
305.46188662960003,639.8941068042355
-299.10614521254473,665.0578603202972
-237.00367898719318,571.1690755917185
-205.0275488697258,533.4147000297896
-212.07601168704085,659.3218204687854
647.3245396341937,608.2562563841633
-231.56555119326276,628.9653432323686
-343.8739330835135,395.87500367455084
146.33860041555872,621.3270694479253
-283.73671068564,631.7964981863538
-286.17133516330244,656.2032113515612
-279.462576811811,-312.91200110206836
-266.7702070752551,-217.8599970861021
-268.51354830047086,437.6685774309338
-245.89286672242235,658.8957820481643
-260.82276792368685,619.1352879158826
-246.69795415214062,667.0712591034514
-209.19408004487278,-241.5081776911597
-284.03115297607695,547.4500436286797
-265.9574467578486,608.5810790674576
-259.92444830463535,425.5112703300113
-258.57632889887594,618.4153592355921
-230.2213701286463,663.7658610079739
-303.90299522522247,624.876645995947
-267.7859753523697,556.6520839604564
-316.2456090297736,463.58456496150984
-275.19601403606003,633.2972783065537
-309.2953653145219,521.9244701545441
-314.9106648534249,-256.74308207587137
-273.9218777095176,646.1006954744895
-306.75011131930495,524.8041180438001
-303.6066064303998,618.929836288556
-283.3307542293621,668.081289179849
-310.32978138080847,600.9314845173479
-281.461738360779,613.8211996608051
-214.940534434939,659.4178594599705
-222.9776523183701,-112.56895808669782
-406.1410695641366,452.09410858129814
-113.27867647141458,634.230008480621
-3.451972063533962,-299.6559825600012
-286.59760519159676,618.9763047126431
-114.36814337272311,646.2797297620249
37.753099984899364,-627.9179513063428
355.5007028515332,-607.4445339495028
309.91423389494946,-627.7676646344535
178.37253040764494,-667.8502942343837
-141.18254990695917,615.8936559446308
206.36360696851048,381.9298821402854
-261.9823698390441,-621.4105074260896
-269.49107235869286,627.8132214620947
-198.8134755364333,633.4270500366749
-144.86109115396,602.9078674371549
-156.54059770990767,651.2334555931996
-9.867716051690104,667.2009224147035
298.64400160409366,620.9443466279976
342.6205827709765,455.4106297404395
-126.24772595291434,648.4486113828737
-134.41151772808337,-613.3476942419918
-302.8485709983021,632.8066923260287
-286.33849760856447,662.1990207784833
-271.8430350792564,437.03628299602207
-191.05724802507834,-71.6782967839265
-182.99217385150436,-641.5246111659286
322.03237564729585,665.8012945843908
305.45742327752066,591.6828865577789
-50.56497850263013,-112.1877839732123
-223.28960590467034,662.260775299479
-218.41338713842956,530.9281627238759
-237.26387183274105,411.1694951951042
-234.92213347532862,601.4507123526963
-201.6156888527581,632.7696716173049
-333.2193620785869,653.6801965336032
-308.2782278297682,485.8757044470416
-100.59584028677261,640.2584782513673
-336.18534924427087,659.1790299333813
-272.91217468306417,588.3784930348165
-282.0563476967525,645.1481704222844
-278.1832067747624,522.1120510317119
-241.47408525141148,668.1165049510633
-256.39677491559905,550.1656120354713
-92.68277493557207,539.1983001159772
-244.0336764211101,566.401181414476
-311.6622980862918,618.7614643749656
-265.63751236580555,466.7585691865145
-231.81244957851268,503.1425929881046
-248.6652619571753,577.5493432619669
-208.35876349268017,613.7203452067051
-209.87770803230174,637.0763425095104
-281.7462633875916,590.5020238588917
-182.0794033713517,615.4313714228273
-241.8486867789118,-532.7188691019534
-129.60306765071417,-605.8247936793107
-183.31286572754587,594.5035041923562
-244.4784683011221,599.774881827579
-268.04123375394477,616.632624936164
-184.3545956008262,-635.2113338048216
-211.1185283770056,549.8963344329059
-228.56878274831405,590.3662373504578
-255.16758089734535,643.4256964584113
-218.23733538752356,495.69548889316843
-121.37068478730586,487.5102931849246
-295.0238500743338,644.081813126873
-279.5474235657235,628.9576697633976
604.389876404443,655.3807485978584
-270.52832501030036,652.7780278479889
-258.70959482731405,607.1652332762138
-245.65055865499068,603.9299702412949
-243.30383021524443,602.6950896993651
-293.32100424587753,651.040177821397
-315.06101750541677,609.330464292868
-304.7775153992904,661.5219391968182
-301.03551318902794,612.7185008032285
-308.8330645464846,507.1754292261522
-304.58949333516216,588.1629311702943
-311.28565975883413,659.6729500388769
-319.34138821236405,646.6942071002094
-315.36014504864306,548.2413396318855
-261.82620372449145,463.46768765321593
-298.09039233538306,545.6883155394582
-325.35539835001754,294.37488337198363
-350.4072011613715,605.416340994969
-312.91333289039864,566.9498788572761
-346.2726797370306,587.9458316872704
-268.5627271333119,404.10841693929524
221.13586185509718,650.5220313916712
262.341995176996,414.33669891703016
-204.20496084019516,637.2866406243811
276.8786394646679,652.7482775286768
200.18461032496305,629.6541136906247
348.611520779173,615.3538148832043
-181.66638448342144,605.5502892085484
-290.17834986070943,634.4481973617276
-173.36359336572696,631.7833348740709
-299.6526703281971,643.0222732901377
-183.29965490065484,628.1875055952996
-183.76824281231083,633.4141585103722
-201.84297531155266,617.4097926439046
-216.18368879438586,357.9356917783191
-254.7530545845458,574.6498059543949
-254.08387433930903,621.8976697261995
-146.58674102272659,611.7779569066186
-152.37705973797802,569.1322337334274
-195.35565229007452,-352.59780185943407
-244.03388103227113,-620.252837851851
-35.51315769617539,-648.3841240233836
-228.0900601826319,-628.2944404256691
-317.59280343214346,239.71387740914176
-440.6290842234713,-429.9211525702901
-269.3274444564756,-464.7618537136743
-240.37324033715154,-410.77271359827404
-221.10616613770145,-628.4072385767072
-219.48710209938625,-439.5275261655302
-231.74635628129093,661.2325319896397
-219.87025116629053,653.5552850900691
-232.75877201882972,570.700956200529
-257.519337367715,666.5995343075764
-268.1272817755601,620.2943753474027
-245.4757086362325,605.6177260379309
-237.13753977865963,628.0950460930625
-271.33837659369897,-449.1255723662262
-281.87051255186077,-639.3610903049494
-253.1061119183816,531.1248536983028
-242.39583392232265,661.9447083811183
-291.38970752042195,-353.75518145416993
-313.19879559732664,624.1455381090033
-307.6134623287821,643.7189531333674
-279.6934242977725,599.7054532505744
-284.1844508837709,652.3431740807425
-105.88542896231854,638.1576959756522
-215.3800284643123,640.6400644683724
-262.0100608511797,613.9475864477376
-232.39775152031999,652.5782542167731
-206.68714323815968,602.8350798870866
-312.1087431111969,549.7767955796262
-323.32428992114006,-218.56105323503263
-357.1140804683567,-417.39796511542903
-347.3099821793768,641.9783898692425
-323.7921001709547,530.5881289274487
-340.39582096069466,-121.2961118464959
-244.15081796244442,-621.7369894325711
-208.97888869796995,620.4050188036992
-231.9020886767352,623.9372642586434
-337.8152272362505,567.2630130096663
361.9512493809986,599.8672920635028
-343.06311312424174,624.3697660825202
-346.2979180995949,652.5749847473754
-349.5251017826155,443.1889849488444
-341.02022628591254,535.5723822394276
-295.7628434984981,469.5677695304251
-123.86256634093245,597.3614382677576
-135.0321659682603,383.02899825956126
-244.49472968972654,652.007645566162
-149.75406545457864,610.7424118613645
-173.31061573540285,632.4491774777678
-349.96706519596245,610.207835965477
-350.75553760169277,623.2353037008995
-357.5314405500239,521.7879175048448
-300.4287678677877,647.3920799489415
-208.320349433747,607.4309588115733
309.27532057962384,639.0364889109064
435.78165526957065,616.0778761777807
352.8214484067408,618.8513680385333
364.7255824305883,501.88583811412
-173.6179137317899,471.4576551299904
-161.8356779972793,659.8252442436657
-319.6759446681588,659.8203309522754
-199.3233758328878,-657.4833302549517
-194.41528084687897,-548.5939588693832
-198.87991270996827,-579.0990723283063
-195.70119188244084,431.4848695273106
-155.64264368540722,640.2865195590675
-249.90633927031035,-634.996673081027
-202.592470273252,624.8102845393959
-182.59721211146655,631.5710220411407
-133.8345094393621,658.4451828121541
-213.0810537477669,586.6187096334074
-202.18265892074277,554.3460758274622
612.7753941375538,582.9984661770579
-215.734768664739,-602.0421435891673
-233.3516170834068,424.9012527186388
-220.75055106275147,609.8582315542415
-204.15410029292977,620.6548572319026
-208.1219879560822,332.692478150732
-197.60740563566998,610.7995444259886
-152.03287882029628,581.6733310822744
-198.39147577122174,611.8214176849132
297.7234811304427,660.282309039683
-289.04753503910933,645.5657936179164
-250.0654729724868,-233.5896179150535
-208.04859952441606,663.3370008915158
-205.0890627296925,647.9115529541566
-167.57941103531627,659.8497027926388
-228.46987591015431,604.7627379434958
-190.63766178225373,599.6415882513962
-240.73425564418474,477.5510926651006
-244.93222512026242,622.6083543855736
-246.83234413602577,611.1641053498205
-235.0174095897877,608.7972682401044
-237.77821388458477,652.2833649815559
-289.7093146332533,-240.69338966050904
-228.97798389710104,603.2264042009369
-250.83632466947043,644.8762793871151
-230.7854874176221,619.4393983472787
-237.78389048572222,654.3170519669692
-247.05520896764438,559.908623089913
-302.82689991691046,651.7304398790955
-95.94628774687617,643.8257311917789
-102.17887670686821,662.3100403192485
-123.72832692647958,642.9626819030821
-278.17973406602164,642.0410887566744
-281.7204390941841,649.7782400573934
-267.0778215561449,435.00197528543345
-210.83680746905068,456.76780530123864
-300.5225200463558,566.057669696193
-301.788013324817,539.942805318781
-295.9559292312122,513.3774531352699
-332.2117892548972,586.9186892580069
-331.0681132352804,503.70424095998186
