Target_Offset_km_s,Control_Offset_km_s
-332.2117892548972,639.8981229016973
49.645241540593986,657.7825189601685
251.160574516637,569.622199493506
225.67482792758656,-416.38586280129135
-83.69078309424958,-198.00512305670247
-350.01339240946993,602.5261075191663
-306.6733353088247,441.41994094017366
-302.38638311351946,364.3100171680075
274.72943990091255,521.2896515632693
351.61936601296577,-631.7986004649374
-76.58125549008145,502.0994104145111
-343.13975598294337,657.2583697959658
-211.5228889742245,605.1357285585997
-242.79649393121946,295.7684528249536
-332.42366474647014,608.7826928526498
-139.08730186665358,-473.35957678786775
-346.582015498035,-616.2395706819943
-233.82055904827823,449.3411433465443
-243.2226586190479,662.8160092336054
-200.03036760502505,668.6648447115848
-322.11315943967577,595.8274206327759
-313.7937496482473,519.579147820737
-306.8942198324507,609.2390164366907
-217.14656372217473,322.8737055618846
-331.0681132352804,587.2355807722706
-341.39157785962266,629.0362492234128
-340.79849357855585,646.2449682370776
-334.23635398551136,549.5811726110821
86.3804031430911,641.4507995030503
50.759781479917876,-635.3333281799399
158.59078462416426,236.61518159245722
159.8134249210339,281.831852910826
-330.23896826015203,-602.942046354051
-301.7330270380954,660.2364432721052
-108.59981389157672,635.8743302921413
322.3328028146719,609.6334696159378
319.92884506446774,634.026703914464
288.2437338858591,655.0728415217758
-348.6725283249504,629.55738589539
-300.58856077865255,613.2612215951965
314.4012071559211,617.033873299953
-314.5271045397105,624.9065331726296
-231.36015330725576,560.9266235789883
-236.7832440942426,-634.154096372427
-251.5751378560411,638.49907640972
-384.6418478229599,-637.8481999107804
-306.321711133073,613.5187473281825
-143.41108667058197,655.0200763021555
-223.60352442082208,620.6940642521329
-254.60909613826487,653.5646684991342
-212.2182545240321,616.3601377723068
-281.15204878828854,-575.8723129315631
-285.76567437259774,469.7970927874266
-297.43208425901906,-353.8597969689192
-273.1173866499897,492.08265306838024
-256.8122550907211,-589.3436294413032
-269.3875096771228,632.0894639392436
-315.38901837897134,526.53706365641
-314.076376198345,645.1571509611957
-179.7528748845639,560.9402153877782
-147.8492410735231,605.6289100371048
-153.3207037994694,-656.452347896428
-269.0023133465611,-312.88911483686644
-57.34546908679172,618.9180891986347
-326.1949186391766,550.7136442981795
-331.32920451692746,504.30756745246515
-138.5036320593563,-605.0912266908817
-342.1080367684961,-670.9175315848968
-346.5798356880308,553.541920576837
-350.02050667934554,629.190098442713
-323.14126405271475,-650.1031994792315
-357.6140493177556,591.1707685129383
-333.70268871103616,434.24124309271974
-86.69291279165822,642.1551261213433
228.48860200127535,559.0704443786101
146.31947872402677,542.5753929659088
143.50012854943049,629.7098740413414
-337.10354637706894,432.47313194219976
-334.63753173557217,-663.5736853960475
-344.8380438312614,484.5503970469341
-352.5670235416114,-534.5568323461983
-24.19174295492163,616.7250686008168
377.40358327874515,-311.7356778564087
319.8194118483224,628.7295753705804
-344.89077720036613,462.30106920908923
-157.62750039705745,632.951786009906
-78.82566793521895,602.768294873439
-58.24476855122057,-501.0927826143671
-202.73008726154052,537.6047959990356
-333.54055516844556,-620.9175444059201
-357.4633601251377,-630.305896867757
-202.25843874607557,664.4766473251201
-129.0822523700752,-579.334216496914
-166.01278388243435,652.3354234518357
-273.6062507360655,-600.4871322952148
-213.1722912478847,565.0457569299275
-229.07364532734707,535.6309955915694
-243.5577154731818,663.9212106154264
-341.3181205439797,667.7376063782847
-344.6651687779146,653.9127155239186
161.90976116467277,549.6308895942816
-326.97093506410016,627.516307408607
-220.09228858598718,-576.7110791300152
-161.65732408202788,655.9862714665221
-260.33710880557373,619.3602633558081
-270.19034592944286,645.4904657226058
-242.6880478378416,520.5363868219059
-234.2593861196421,633.8976409065683
-295.0423031289448,486.94870360632257
-247.63793383430468,-608.6147415642448
-273.89376743135114,622.7701675399348
-262.49628458075983,-250.7864304193278
-252.30634737168003,615.4988504135653
-302.51654583798427,638.6955212148381
-296.3892067314312,-295.27310816372284
-316.7837427470394,429.08220607137554
-288.0994578094878,-318.9466893130377
-303.5332159739112,445.3061395737768
-295.89000649437986,607.3644073158068
-294.26477214775014,-206.08147154598865
-283.14717002372936,587.1894105664835
-283.3906146927171,614.3211461300493
-293.9848919044083,642.8133234900566
-273.4533979299925,623.517123861616
-267.2000129665571,636.7051293631354
-302.2746507427223,639.383428252655
-291.48052927313944,595.0139752479614
-296.6491860371367,-261.77701652664376
-269.4232549777667,624.2529792578496
-330.36950388300306,-623.4381919285751
-314.37438285773203,572.7317084200027
-318.71487588460695,-409.99511697130725
-210.3402937520589,614.3892321448259
-326.7848640862658,472.2426559377109
-310.7859395099232,573.5177137102428
-409.9276883660104,606.3996809044178
21.31653591888549,564.9945154845099
-335.5103607832207,-456.78674914208625
-295.4977958923776,581.8146227743568
-298.592072047701,516.0733063825204
-80.83043732434189,663.1637489977624
-246.78333894197917,663.2416920188143
-264.3428037902401,612.8349271336245
-248.4857522405787,612.2979119716607
-258.6888968860981,649.1857811909197
-287.8029300660044,486.58318163824595
-387.553261904439,-663.3114278831157
-267.43638072695524,626.9563623518843
-305.7806988144688,617.2134235507236
-319.046903031592,650.4853068495399
-339.02230296007195,633.8278805596775
-311.64723500392785,521.7774264413266
-309.2739060322531,652.3675572605702
621.4115419442114,513.8485006651593
296.550430600004,530.8609692135286
-356.7801058992271,624.5245302289711
